handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_5a042499-c351-4b89-b2be-cf9f508f3f63,Product,Daikin VAM-J VAM800J Heat Recovery Ventilation Unit,"Professional Heat Recovery Ventilation SystemDaikin Europe N.V. - High-performance VAM-J VAM800J with 80% energy recovery efficiencyETL Certified Heat Recovery Ventilation - Daikin Europe N.V.Energy Rating: 80 - Optimized for commercial and residential applicationsFeatures advanced heat recovery technology and reliable performanceIdeal for HVAC systems, energy-efficient buildings, and ventilation applications",c123de_fa9eb98e0a6b4883b83669d0b5d59cc5~mv2.jpg,Heat Recovery Ventilation Units,etl_vam800j,,3600,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7454d392-66e0-4681-89ec-6995f9a36a52,Product,Daikin VAM-J VAM2000J Heat Recovery Ventilation Unit,"Professional Heat Recovery Ventilation System
Daikin Europe N.V. - High-performance VAM-J VAM2000J with 84% energy recovery efficiency
ETL Certified Heat Recovery Ventilation - Daikin Europe N.V.
Energy Rating: 84 - Optimized for commercial and residential applications
Features advanced heat recovery technology and reliable performance
Ideal for HVAC systems, energy-efficient buildings, and ventilation applications",c123de_2d68c6c83dba48c5846f6611e51cc71a~mv2.jpg,Heat Recovery Ventilation Units,etl_vam2000j,,5200,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_242a1108-206d-4569-a989-221034987dc3,Product,Daikin VAM-J VAM650J Heat Recovery Ventilation Unit,"Professional Heat Recovery Ventilation System
Daikin Europe N.V. - High-performance VAM-J VAM650J with 83% energy recovery efficiency
ETL Certified Heat Recovery Ventilation - Daikin Europe N.V.
Energy Rating: 83 - Optimized for commercial and residential applications
Features advanced heat recovery technology and reliable performance
Ideal for HVAC systems, energy-efficient buildings, and ventilation applications",c123de_c6c99ca49d0446d88612629a3c2c3946~mv2.jpg,Heat Recovery Ventilation Units,etl_vam650j,,3500,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cc11f7da-af88-4b75-ae27-8158c75986df,Product,Daikin VAM-J VAM1000J Heat Recovery Ventilation Unit,"<p>Professional Heat Recovery Ventilation System Daikin Europe N.V. -<br>High-performance VAM-J VAM1000J with 80% energy recovery efficiency<br>ETL Certified Heat Recovery Ventilation - Daikin Europe N.V. Energy Rating: 80 - Optimized for commercial and residential applications Features advanced heat recovery technology and reliable performance Ideal for HVAC systems, energy-efficient buildings, and ventilation applications</p>",c123de_1b1df90fbb4a4cebabf44dc1ea799e69~mv2.jpg,Heat Recovery Ventilation Units,etl_vam1000j,,3800,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9835fdf2-a044-4e53-9692-f40fad4b7714,Product,Daikin VAM-J VAM1500J Heat Recovery Ventilation Unit,"Professional Heat Recovery Ventilation System
Daikin Europe N.V. - High-performance VAM-J VAM1500J with 83% energy recovery efficiency
ETL Certified Heat Recovery Ventilation - Daikin Europe N.V.
Energy Rating: 83 - Optimized for commercial and residential applications
Features advanced heat recovery technology and reliable performance
Ideal for HVAC systems, energy-efficient buildings, and ventilation applications",c123de_4c466196e5fe462d8d19672e1f52cea4~mv2.jpg,,etl_vam1500j,,4500,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e9a9d9ac-e848-4f39-8a50-c845d2b32908,Product,Daikin VAM-J VAM350J Heat Recovery Ventilation Unit,"Professional Heat Recovery Ventilation System
Daikin Europe N.V. - High-performance VAM-J VAM350J with 80% energy recovery efficiency
ETL Certified Heat Recovery Ventilation - Daikin Europe N.V.
Energy Rating: 80 - Optimized for commercial and residential applications
Features advanced heat recovery technology and reliable performance
Ideal for HVAC systems, energy-efficient buildings, and ventilation applications",c123de_ced91c59d457496fb0a143049cccf744~mv2.jpg,Heat Recovery Ventilation Units,etl_vam350j,,2800,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d3d10e55-b353-451e-8a3c-faab08f62118,Product,Daikin VAM-J VAM500J Heat Recovery Ventilation Unit,"Professional Heat Recovery Ventilation System
Daikin Europe N.V. - High-performance VAM-J VAM500J with 85% energy recovery efficiency
ETL Certified Heat Recovery Ventilation - Daikin Europe N.V.
Energy Rating: 85 - Optimized for commercial and residential applications
Features advanced heat recovery technology and reliable performance
Ideal for HVAC systems, energy-efficient buildings, and ventilation applications",c123de_48400e5dbc204685a52fa55c3e21fbd0~mv2.jpg,Heat Recovery Ventilation Units,etl_vam500j,,3200,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8991666b-d2d2-4d42-9f11-28de270d91c1,Product,Secotec Refrigeration Dryer 5.88kW,"Professional ETL Technology System
HPC Compressed Air Systems - High-performance Secotec Refrigeration Dryer with 5.88kW power rating
ETL Certified ETL Technology - HPC Compressed Air Systems
Energy Rating: 5.88 - Optimized for commercial and industrial applications
Features advanced efficiency technology and reliable performance
Ideal for refrigeration systems, commercial equipment, and energy-conscious installations",c123de_f616feda154d4481946c999129ea03ce~mv2.jpg,,etl_refrigeration_dryer_5.88,,1800,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1ce79893-30dd-4270-993f-584bd75b41f9,Product,VLT REFRIGERATION DRIVE 250kW,"Professional ETL Technology System
Danfoss Ltd - High-performance VLT REFRIGERATION DRIVE with 250kW power rating
ETL Certified ETL Technology - Danfoss Ltd
Energy Rating: 250 - Optimized for commercial and industrial applications
Features advanced efficiency technology and reliable performance
Ideal for refrigeration systems, commercial equipment, and energy-conscious installations",c123de_dc1e5a5c80164d2b978cbaa9c9f30e7b~mv2.jpg,,etl_refrigeration_drive_250,,2200,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_26015b51-7566-4a22-8a52-d67c61387c1c,Product,VLT REFRIGERATION DRIVE 315kW,"Professional ETL Technology System
Danfoss Ltd - High-performance VLT REFRIGERATION DRIVE with 315kW power rating
ETL Certified ETL Technology - Danfoss Ltd
Energy Rating: 315 - Optimized for commercial and industrial applications
Features advanced efficiency technology and reliable performance
Ideal for refrigeration systems, commercial equipment, and energy-conscious installations",c123de_5aa3c58c43f9490c9b73aa43139b17d5~mv2.jpg,,etl_refrigeration_drive_315,,2500,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
