id,name,power,category,subcategory,brand,running_cost_per_year,energy_rating,efficiency,source,model_number,water_per_cycle_liters,water_per_year_liters,capacity_kg,place_settings
"sample_1","Samsung 4-Door French Door Refrigerator",180,"Appliances","Refrigerator","Samsung",78.84,"A+","High","Sample",,0,0,,
"sample_2","LG Front Load Washer",500,"Appliances","Washing Machine","LG",219,"A++","High","Sample",,0,0,,
"sample_3","Bosch Dishwasher",155,"Appliances","Dishwasher","Bosch",67.89,"A+","High","Sample",,0,0,,
"sample_4","Philips LED Bulb 9W",9,"Lighting","LED Bulbs","Philips",3.94,"A+","High","Sample",,0,0,,
"sample_5","Nest Learning Thermostat",3,"Smart Home","Thermostats","Nest",1.31,"A+","High","Sample",,0,0,,
"sample_6","Dyson V15 Detect",240,"Appliances","Other","Dyson",105.12,"A","Medium","Sample",,0,0,,
"sample_7","Instant Pot Duo",1000,"Appliances","Other","Instant Pot",438,"A","Medium","Sample",,0,0,,
"sample_8","Ring Video Doorbell",2,"Smart Home","Sensors","Ring",0.88,"A+","High","Sample",,0,0,,
"sample_9","Echo Dot 4th Gen",3,"Smart Home","Hubs","Amazon",1.31,"A+","High","Sample",,0,0,,
"sample_10","Apple HomePod Mini",2,"Smart Home","Hubs","Apple",0.88,"A+","High","Sample",,0,0,,
"sample_11","Google Nest Hub",2,"Smart Home","Hubs","Google",0.88,"A+","High","Sample",,0,0,,
"sample_12","Samsung SmartThings Hub",2,"Smart Home","Hubs","Samsung",0.88,"A+","High","Sample",,0,0,,
"sample_13","Philips Hue Bridge",1,"Smart Home","Hubs","Philips",0.44,"A+","High","Sample",,0,0,,
"sample_14","Wemo Smart Plug",1,"Smart Home","Sensors","Belkin",0.44,"A+","High","Sample",,0,0,,
"sample_15","TP-Link Kasa Smart Plug",1,"Smart Home","Sensors","TP-Link",0.44,"A+","High","Sample",,0,0,,
"sample_16","Samsung 55"" QLED TV",120,"Appliances","Other","Samsung",52.56,"A","Medium","Sample",,0,0,,
"sample_17","LG 65"" OLED TV",150,"Appliances","Other","LG",65.7,"A","Medium","Sample",,0,0,,
"sample_18","Sony 75"" 4K TV",180,"Appliances","Other","Sony",78.84,"A","Medium","Sample",,0,0,,
"sample_19","Panasonic Microwave",1200,"Appliances","Microwave","Panasonic",525.6,"A","Medium","Sample",,0,0,,
"sample_20","Sharp Microwave",1100,"Appliances","Microwave","Sharp",481.8,"A","Medium","Sample",,0,0,,
"sample_21","Toshiba Microwave",1000,"Appliances","Microwave","Toshiba",438,"A","Medium","Sample",,0,0,,
"sample_22","GE Microwave",1200,"Appliances","Microwave","GE",525.6,"A","Medium","Sample",,0,0,,
"sample_23","Whirlpool Microwave",1100,"Appliances","Microwave","Whirlpool",481.8,"A","Medium","Sample",,0,0,,
"sample_24","KitchenAid Microwave",1000,"Appliances","Microwave","KitchenAid",438,"A","Medium","Sample",,0,0,,
"sample_25","Maytag Microwave",1200,"Appliances","Microwave","Maytag",525.6,"A","Medium","Sample",,0,0,,
"sample_26","Frigidaire Microwave",1100,"Appliances","Microwave","Frigidaire",481.8,"A","Medium","Sample",,0,0,,
"sample_27","Amana Microwave",1000,"Appliances","Microwave","Amana",438,"A","Medium","Sample",,0,0,,
"sample_28","Haier Microwave",1200,"Appliances","Microwave","Haier",525.6,"A","Medium","Sample",,0,0,,
"sample_29","Hisense Microwave",1100,"Appliances","Microwave","Hisense",481.8,"A","Medium","Sample",,0,0,,
"sample_30","TCL Microwave",1000,"Appliances","Microwave","TCL",438,"A","Medium","Sample",,0,0,,
"sample_31","Vizio Microwave",1200,"Appliances","Microwave","Vizio",525.6,"A","Medium","Sample",,0,0,,
"sample_32","Insignia Microwave",1100,"Appliances","Microwave","Insignia",481.8,"A","Medium","Sample",,0,0,,
"sample_33","Onn Microwave",1000,"Appliances","Microwave","Onn",438,"A","Medium","Sample",,0,0,,
"sample_34","RCA Microwave",1200,"Appliances","Microwave","RCA",525.6,"A","Medium","Sample",,0,0,,
"sample_35","JVC Microwave",1100,"Appliances","Microwave","JVC",481.8,"A","Medium","Sample",,0,0,,
"sample_36","Pioneer Microwave",1000,"Appliances","Microwave","Pioneer",438,"A","Medium","Sample",,0,0,,
"sample_37","Yamaha Microwave",1200,"Appliances","Microwave","Yamaha",525.6,"A","Medium","Sample",,0,0,,
"sample_38","Denon Microwave",1100,"Appliances","Microwave","Denon",481.8,"A","Medium","Sample",,0,0,,
"sample_39","Marantz Microwave",1000,"Appliances","Microwave","Marantz",438,"A","Medium","Sample",,0,0,,
"sample_40","Harman Kardon Microwave",1200,"Appliances","Microwave","Harman Kardon",525.6,"A","Medium","Sample",,0,0,,
"sample_41","Bose Microwave",1100,"Appliances","Microwave","Bose",481.8,"A","Medium","Sample",,0,0,,
"sample_42","Klipsch Microwave",1000,"Appliances","Microwave","Klipsch",438,"A","Medium","Sample",,0,0,,
"sample_43","Definitive Technology Microwave",1200,"Appliances","Microwave","Definitive Technology",525.6,"A","Medium","Sample",,0,0,,
"sample_44","MartinLogan Microwave",1100,"Appliances","Microwave","MartinLogan",481.8,"A","Medium","Sample",,0,0,,
"sample_45","Paradigm Microwave",1000,"Appliances","Microwave","Paradigm",438,"A","Medium","Sample",,0,0,,
"sample_46","Monitor Audio Microwave",1200,"Appliances","Microwave","Monitor Audio",525.6,"A","Medium","Sample",,0,0,,
"sample_47","B&W Microwave",1100,"Appliances","Microwave","B&W",481.8,"A","Medium","Sample",,0,0,,
"sample_48","KEF Microwave",1000,"Appliances","Microwave","KEF",438,"A","Medium","Sample",,0,0,,
"sample_49","Dynaudio Microwave",1200,"Appliances","Microwave","Dynaudio",525.6,"A","Medium","Sample",,0,0,,
"sample_50","Hisense Dishwasher",155,"Appliances","Dishwasher","Hisense",67.89,"A","Medium","Sample",,0,0,,
"oven_1","Bosch HBL8453UC 30"" Single Wall Oven",2400,"Appliances","Oven","Bosch",105.12,"A+","High","Sample",,0,0,,
"oven_2","GE Profile P2B940YPFS 30"" Double Wall Oven",2600,"Appliances","Oven","GE",113.88,"A","Medium","Sample",,0,0,,
"oven_3","KitchenAid KODE500ESS 30"" Double Wall Oven",2500,"Appliances","Oven","KitchenAid",109.5,"A","Medium","Sample",,0,0,,
"oven_4","Whirlpool WOD51HZES 30"" Double Wall Oven",2700,"Appliances","Oven","Whirlpool",118.26,"A","Medium","Sample",,0,0,,
"oven_5","Maytag MWO5105BZ 30"" Single Wall Oven",2300,"Appliances","Oven","Maytag",100.74,"A","Medium","Sample",,0,0,,
"oven_6","Frigidaire Gallery FGEW3065UF 30"" Wall Oven",2800,"Appliances","Oven","Frigidaire",122.64,"A","Medium","Sample",,0,0,,
"oven_7","Samsung NE58K9430WS 30"" Wall Oven",2450,"Appliances","Oven","Samsung",107.31,"A+","High","Sample",,0,0,,
"oven_8","LG LDE4413ST 30"" Double Wall Oven",2550,"Appliances","Oven","LG",111.69,"A+","High","Sample",,0,0,,
"oven_9","Panasonic NN-SN966S Countertop Microwave",1250,"Appliances","Oven","Panasonic",54.75,"A+","High","Sample",,0,0,,
"oven_10","Electrolux EI30EF55QS 30"" Single Wall Oven",2750,"Appliances","Oven","Electrolux",120.45,"A","Medium","Sample",,0,0,,
"rest_oven_1","Vulcan VC4GD 4-Burner Gas Range",15000,"Restaurant Equipment","Commercial Ovens","Vulcan",657,"A","Medium","Sample",,0,0,,
"rest_oven_2","Wolf CR3040 30"" Gas Range",12000,"Restaurant Equipment","Commercial Ovens","Wolf",525.6,"A+","High","Sample",,0,0,,
"rest_oven_3","Garland GR6 6-Burner Gas Range",18000,"Restaurant Equipment","Commercial Ovens","Garland",788.4,"A","Medium","Sample",,0,0,,
"rest_fridge_1","True T-49 4-Door Commercial Refrigerator",800,"Restaurant Equipment","Commercial Fridges","True",35.04,"A+","High","Sample",,0,0,,
"rest_fridge_2","Beverage Air BM-23 Commercial Refrigerator",750,"Restaurant Equipment","Commercial Fridges","Beverage Air",32.85,"A+","High","Sample",,0,0,,
"rest_fridge_3","Hoshizaki KM-500MAJ Commercial Refrigerator",850,"Restaurant Equipment","Commercial Fridges","Hoshizaki",37.23,"A","Medium","Sample",,0,0,,
"rest_freezer_1","Traulsen G-2 Commercial Freezer",900,"Restaurant Equipment","Commercial Freezers","Traulsen",39.42,"A+","High","Sample",,0,0,,
"rest_freezer_2","Arctic Air Commercial Freezer",950,"Restaurant Equipment","Commercial Freezers","Arctic Air",41.61,"A","Medium","Sample",,0,0,,
"rest_prep_1","Hobart A200 Commercial Mixer",200,"Restaurant Equipment","Food Prep","Hobart",8.76,"A+","High","Sample",,0,0,,
"rest_prep_2","KitchenAid 5KSM150PSER Stand Mixer",300,"Restaurant Equipment","Food Prep","KitchenAid",13.14,"A+","High","Sample",,0,0,,
"rest_prep_3","Cuisinart SM-50 Stand Mixer",250,"Restaurant Equipment","Food Prep","Cuisinart",10.95,"A","Medium","Sample",,0,0,,
"rest_prep_4","Hamilton Beach Commercial Blender",400,"Restaurant Equipment","Food Prep","Hamilton Beach",17.52,"A","Medium","Sample",,0,0,,
"rest_prep_5","Berkel Commercial Meat Slicer",350,"Restaurant Equipment","Food Prep","Berkel",15.33,"A+","High","Sample",,0,0,,
"office_comp_1","Dell OptiPlex 7090 Desktop",180,"Office Equipment","Computers","Dell",78.84,"A+","High","Sample",,0,0,,
"office_comp_2","HP EliteDesk 800 G6 Desktop",200,"Office Equipment","Computers","HP",87.6,"A+","High","Sample",,0,0,,
"office_comp_3","Lenovo ThinkCentre M90t Desktop",190,"Office Equipment","Computers","Lenovo",83.22,"A+","High","Sample",,0,0,,
"office_laptop_1","MacBook Pro 14"" M1 Pro",70,"Office Equipment","Laptops","Apple",30.66,"A+","High","Sample",,0,0,,
"office_laptop_2","Dell XPS 13 9310 Laptop",60,"Office Equipment","Laptops","Dell",26.28,"A+","High","Sample",,0,0,,
"office_laptop_3","HP Spectre x360 13"" Laptop",65,"Office Equipment","Laptops","HP",28.47,"A+","High","Sample",,0,0,,
"office_printer_1","HP LaserJet Pro M404n Printer",350,"Office Equipment","Printers","HP",15.33,"A+","High","Sample",,0,0,,
"office_printer_2","Canon imageRUNNER ADVANCE C3530 Printer",450,"Office Equipment","Printers","Canon",19.71,"A","Medium","Sample",,0,0,,
"office_monitor_1","Dell UltraSharp U2720Q 27"" Monitor",25,"Office Equipment","Monitors","Dell",10.95,"A+","High","Sample",,0,0,,
"office_monitor_2","LG 27UL850-W 27"" Monitor",30,"Office Equipment","Monitors","LG",13.14,"A+","High","Sample",,0,0,,
"office_network_1","Cisco Catalyst 2960 Switch",15,"Office Equipment","Networking","Cisco",6.57,"A+","High","Sample",,0,0,,
"office_network_2","Netgear GS108 Switch",8,"Office Equipment","Networking","Netgear",3.5,"A+","High","Sample",,0,0,,
"etl_3_86432","SK 500P-250-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86504","SK 530P-111-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86503","SK 530P-750-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86502","SK 530P-550-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86501","SK 530P-370-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86500","SK 530P-250-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86499","SK 530P-221-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86498","SK 530P-151-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86497","SK 530P-111-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86496","SK 530P-750-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86495","SK 530P-550-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86494","SK 530P-370-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86493","SK 530P-250-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86492","SK 510P-112-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86491","SK 510P-751-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86490","SK 510P-551-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86489","SK 510P-401-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86488","SK 510P-301-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86487","SK 510P-221-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86486","SK 510P-151-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86485","SK 510P-111-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86484","SK 510P-750-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86483","SK 510P-550-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86482","SK 510P-370-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86481","SK 510P-250-340-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
"etl_3_86480","SK 510P-221-123-A","Appliances","Boiler Equipment","NORD Gear Ltd","100",43.8,"Yes","High","ETL",,0,0,,
